Sample,Target,Concentration,Replicate,Method,Concentration_adj,Viral_type
Vac. direct capture,Enterovirus,12.76,R3,VDC,12.76,Endogenous
NanoTrap,Norovirus,172.2,R1,NT,688.8,Endogenous
NanoTrap,RSV,0.107,R1,NT,0.428,Endogenous
NanoTrap,Enterovirus,5.203,R1,NT,20.812,Endogenous
NanoTrap,Norovirus,198.4,R2,NT,793.6,Endogenous
NanoTrap,RSV,0,R2,NT,0,Endogenous
NanoTrap,Enterovirus,3.806,R2,NT,15.224,Endogenous
NanoTrap,Norovirus,175.8,R3,NT,703.2,Endogenous
NanoTrap,RSV,0,R3,NT,0,Endogenous
NanoTrap,Enterovirus,3.275,R3,NT,13.1,Endogenous
Ultrafiltration,Norovirus,173.6,R1,UF,173.6,Endogenous
Ultrafiltration,RSV,0,R1,UF,0,Endogenous
Ultrafiltration,Enterovirus,7.001,R1,UF,7.001,Endogenous
Ultrafiltration,Norovirus,149.4,R2,UF,149.4,Endogenous
Ultrafiltration,RSV,0,R2,UF,0,Endogenous
Ultrafiltration,Enterovirus,6.545,R2,UF,6.545,Endogenous
Ultrafiltration,Norovirus,212.7,R3,UF,212.7,Endogenous
Ultrafiltration,RSV,0,R3,UF,0,Endogenous
Ultrafiltration,Enterovirus,7.244,R3,UF,7.244,Endogenous
Membrane,Norovirus,97.53,R1,MEM,97.53,Endogenous
Membrane,RSV,0.055,R1,MEM,0.055,Endogenous
Membrane,Enterovirus,3.703,R1,MEM,3.703,Endogenous
Membrane,Norovirus,95.5,R2,MEM,95.5,Endogenous
Membrane,RSV,0,R2,MEM,0,Endogenous
Membrane,Enterovirus,5.259,R2,MEM,5.259,Endogenous
Membrane,Norovirus,108.6,R3,MEM,108.6,Endogenous
Membrane,RSV,0,R3,MEM,0,Endogenous
Membrane,Enterovirus,7.868,R3,MEM,7.868,Endogenous
PEG,Norovirus,515.4,R1,PEG,515.4,Endogenous
PEG,RSV,0.111,R1,PEG,0.111,Endogenous
PEG,Enterovirus,14.77,R1,PEG,14.77,Endogenous
PEG,Norovirus,640.3,R2,PEG,640.3,Endogenous
PEG,RSV,0.111,R2,PEG,0.111,Endogenous
PEG,Enterovirus,18.8,R2,PEG,18.8,Endogenous
PEG,Norovirus,484.8,R3,PEG,484.8,Endogenous
PEG,RSV,0,R3,PEG,0,Endogenous
PEG,Enterovirus,13.74,R3,PEG,13.74,Endogenous
Unconcentrated_Spike,Norovirus,19,R1,UNC_Sp,1520,Endogenous
Unconcentrated_Spike,RSV,0,R1,UNC_Sp,0,Endogenous
Unconcentrated_Spike,Enterovirus,0.585,R1,UNC_Sp,46.8,Endogenous
Unconcentrated_Spike,Norovirus,18.5,R2,UNC_Sp,1480,Endogenous
Unconcentrated_Spike,RSV,0,R2,UNC_Sp,0,Endogenous
Unconcentrated_Spike,Enterovirus,0.893,R2,UNC_Sp,71.44,Endogenous
Unconcentrated_Spike,Norovirus,23.28,R3,UNC_Sp,1862.4,Endogenous
Unconcentrated_Spike,RSV,0,R3,UNC_Sp,0,Endogenous
Unconcentrated_Spike,Enterovirus,1.013,R3,UNC_Sp,81.04,Endogenous
Unconcentrated_Spike,LCMV,0.359771029,R1,UNC_Sp,28.78168232,Spike-in
Unconcentrated_Spike,LCMV,0.526366955,R2,UNC_Sp,42.1093564,Spike-in
Unconcentrated_Spike,LCMV,0.42522628,R3,UNC_Sp,34.0181024,Spike-in
Vac. direct capture,SARS-CoV-2,245.55,R1,VDC,491.1,Endogenous
Vac. direct capture,SARS-CoV-2,283.57,R2,VDC,567.14,Endogenous
Vac. direct capture,SARS-CoV-2,252.48,R3,VDC,504.96,Endogenous
Vac. direct capture Pellet,SARS-CoV-2,6.03,R1,VDCP,12.06,Endogenous
Vac. direct capture Pellet,SARS-CoV-2,4.99,R2,VDCP,9.98,Endogenous
Vac. direct capture Pellet,SARS-CoV-2,15.93,R3,VDCP,31.86,Endogenous
NanoTrap,SARS-CoV-2,38.87,R1,NT,310.96,Endogenous
NanoTrap,SARS-CoV-2,108.04,R2,NT,864.32,Endogenous
NanoTrap,SARS-CoV-2,38.22,R3,NT,305.76,Endogenous
Ultrafiltration,SARS-CoV-2,26.81,R1,UF,53.62,Endogenous
Ultrafiltration,SARS-CoV-2,19.58,R2,UF,39.16,Endogenous
Ultrafiltration,SARS-CoV-2,36.95,R3,UF,73.9,Endogenous
Membrane,SARS-CoV-2,20.89,R1,MEM,41.78,Endogenous
Membrane,SARS-CoV-2,17.72,R2,MEM,35.44,Endogenous
Membrane,SARS-CoV-2,33.22,R3,MEM,66.44,Endogenous
PEG,SARS-CoV-2,130.44,R1,PEG,260.88,Endogenous
PEG,SARS-CoV-2,144.49,R2,PEG,288.98,Endogenous
PEG,SARS-CoV-2,108.82,R3,PEG,217.64,Endogenous
Unconcentrated_Spike,SARS-CoV-2,2.84,R1,UNC_Sp,454.4,Endogenous
Unconcentrated_Spike,SARS-CoV-2,2.85,R2,UNC_Sp,456,Endogenous
Unconcentrated_Spike,SARS-CoV-2,4.55,R3,UNC_Sp,728,Endogenous
Unconcentrated,SARS-CoV-2,3.52,R1,UNC,563.2,Endogenous
Unconcentrated,SARS-CoV-2,3.74,R2,UNC,598.4,Endogenous
Unconcentrated,SARS-CoV-2,3.31,R3,UNC,529.6,Endogenous
Direct_Extract_1-10_Dilution,SARS-CoV-2,0,R1,DE,0,Endogenous
Direct_Dilute,SARS-CoV-2,0,R1,DE,0,Endogenous
Direct_Extract_1-10_Dilution,SARS-CoV-2,0,R2,DE,0,Endogenous
Direct_Dilute,SARS-CoV-2,0,R2,DE,0,Endogenous
Direct_Extract_1-10_Dilution,SARS-CoV-2,0,R3,DE,0,Endogenous
Direct_Dilute,SARS-CoV-2,0,R3,DE,0,Endogenous
Direct_Extract_1-10_Dilution,16S,6976.685398,R1,DE,2790674.1595,Endogenous
Direct_Dilute,16S,6976.685398,R1,DE,2790674.1595,Endogenous
Direct_Extract_1-10_Dilution,16S,5934.978648,R2,DE,2373991.459,Endogenous
Direct_Dilute,16S,5934.978648,R2,DE,2373991.459,Endogenous
Direct_Extract_1-10_Dilution,16S,11353.248605,R3,DE,4541299.442,Endogenous
Direct_Dilute,16S,11353.248605,R3,DE,4541299.442,Endogenous
Membrane,16S,60083971.725,R1,MEM,300419858.65,Endogenous
Membrane,16S,44338654.76,R2,MEM,221693273.8,Endogenous
Membrane,16S,60120661.72,R3,MEM,300603308.6,Endogenous
NanoTrap,16S,17083892.36,R1,NT,341677847.3,Endogenous
NanoTrap,16S,11953575.745,R2,NT,239071514.95,Endogenous
NanoTrap,16S,12749690.735,R3,NT,254993814.7,Endogenous
PEG,16S,3358791.019,R1,PEG,16793955.095,Endogenous
PEG,16S,3251693.545,R2,PEG,16258467.72,Endogenous
PEG,16S,3023416.0035,R3,PEG,15117080.02,Endogenous
Ultrafiltration,16S,11127942.045,R1,UF,55639710.23,Endogenous
Ultrafiltration,16S,14429544.815,R2,UF,72147724.075,Endogenous
Ultrafiltration,16S,7191428.942,R3,UF,35957144.71,Endogenous
